epoch,step,train_loss_epoch,train_loss_step,valid_auroc_epoch
0,19,,0.6736084818840027,
0,39,,0.6716699004173279,
0,59,,0.6399747133255005,
0,79,,0.6262121200561523,
0,99,,0.6539661884307861,
0,119,,0.6253606677055359,
0,139,,0.621620237827301,
0,159,,0.6700529456138611,
0,179,,0.6656625270843506,
0,199,,0.6547178626060486,
0,219,,0.6312949657440186,
0,239,,0.6173901557922363,
0,259,,0.6248394250869751,
0,279,,0.6153790354728699,
0,299,,0.6195911169052124,
0,319,,0.613386869430542,
0,339,,0.6154342889785767,
0,359,,0.6291483640670776,
0,379,,0.6344383358955383,
0,399,,0.648633599281311,
0,419,,0.6365401744842529,
0,439,,0.6047503352165222,
0,459,,0.6499902009963989,
0,479,,0.6402954459190369,
0,499,,0.6554247736930847,
0,519,,0.6426355838775635,
0,539,,0.6415199637413025,
0,559,,0.6064484119415283,
0,579,,0.6325080394744873,
0,599,,0.6584734916687012,
0,619,,0.6442927122116089,
0,639,,0.6200186610221863,
0,659,,0.6533442735671997,
0,679,,0.6056725382804871,
0,699,,0.6459026336669922,
0,719,,0.6539725065231323,
0,739,,0.630344033241272,
0,759,,0.5975910425186157,
0,779,,0.6345321536064148,
0,799,,0.6486496925354004,
0,819,,0.6168567538261414,
0,839,,0.6147991418838501,
0,859,,0.5996096134185791,
0,879,,0.5701197981834412,
0,899,,0.6333005428314209,
0,919,,0.6394361257553101,
0,939,,0.5796530246734619,
0,959,,0.5919349789619446,
0,979,,0.6097065806388855,
0,999,,0.6282222270965576,
0,999,,,0.514289379119873
0,999,0.6292361617088318,,
1,1019,,0.6403412222862244,
1,1039,,0.5779010057449341,
1,1059,,0.572966456413269,
1,1079,,0.6223512887954712,
1,1099,,0.578921914100647,
1,1119,,0.5932121276855469,
1,1139,,0.5906354188919067,
1,1159,,0.6193150281906128,
1,1179,,0.5957798361778259,
1,1199,,0.5794277191162109,
1,1219,,0.5604903697967529,
1,1239,,0.5408750772476196,
1,1259,,0.5841259956359863,
1,1279,,0.567524790763855,
1,1299,,0.5742163062095642,
1,1319,,0.6267008781433105,
1,1339,,0.5235903263092041,
1,1359,,0.5418801307678223,
1,1379,,0.5976270437240601,
1,1399,,0.5598114132881165,
1,1419,,0.594066858291626,
1,1439,,0.5918328762054443,
1,1459,,0.5826371908187866,
1,1479,,0.5207599997520447,
1,1499,,0.5700873136520386,
1,1519,,0.5807756781578064,
1,1539,,0.5710514783859253,
1,1559,,0.5415633916854858,
1,1579,,0.5754351019859314,
1,1599,,0.5658990740776062,
1,1619,,0.5901117324829102,
1,1639,,0.5565700531005859,
1,1659,,0.5841436386108398,
1,1679,,0.6038165092468262,
1,1699,,0.6061072945594788,
1,1719,,0.5773950815200806,
1,1739,,0.5810903310775757,
1,1759,,0.570167064666748,
1,1779,,0.5538803339004517,
1,1799,,0.5040786266326904,
1,1819,,0.5364086627960205,
1,1839,,0.5663818717002869,
1,1859,,0.5634081363677979,
1,1879,,0.5679680109024048,
1,1899,,0.5811172723770142,
1,1919,,0.5833685398101807,
1,1939,,0.5831730365753174,
1,1959,,0.6006714105606079,
1,1979,,0.625236988067627,
1,1999,,0.5933753252029419,
1,1999,,,0.551625669002533
1,1999,0.5785437226295471,,
2,2019,,0.5708029270172119,
2,2039,,0.5453137159347534,
2,2059,,0.5565013885498047,
2,2079,,0.5824596881866455,
2,2099,,0.5776300430297852,
2,2119,,0.5616869926452637,
2,2139,,0.5471910238265991,
2,2159,,0.5686897039413452,
2,2179,,0.597097635269165,
2,2199,,0.5621011257171631,
2,2219,,0.5795686841011047,
2,2239,,0.585354745388031,
2,2259,,0.5675617456436157,
2,2279,,0.5559048652648926,
2,2299,,0.5981989502906799,
2,2319,,0.5346118211746216,
2,2339,,0.5403229594230652,
2,2359,,0.5475738048553467,
2,2379,,0.5815505385398865,
2,2399,,0.5810846090316772,
2,2419,,0.5131260752677917,
2,2439,,0.546922504901886,
2,2459,,0.5765544176101685,
2,2479,,0.5702897906303406,
2,2499,,0.523460328578949,
2,2519,,0.5950829386711121,
2,2539,,0.5946516990661621,
